name,title,date,video_url,view_num,likes_num,unlikes_num,comments
K-배터리 총력전 국가전략산업으로 지정된 배터리 지원도 뒤따라올까(박철완)/ 주식경제 이슈분석 / 한국경제TV,K-배터리 총력전 국가전략산업으로 지정된 배터리 지원도 뒤따라올까(박철완)/ 주식경제 이슈분석 / 한국경제TV,2021. 7. 15.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 3,036회",좋아요 74개,싫어요 2개,"자동차학과 교수가  베터리사업에 뭔 전문성이 높다고 저런 말들을 하는지|중국 배터리가 날아가고 한국 배터리는 달린다
어이없는 발언이네 중국배터리는 대부분 중국내 소비영향이 크고 가격 메리트 빼면 한국배터리에 경쟁상대가 안된다
스팩 떨어지는 차에만 들어가지
향후 고성능의 전기차 시장이되면 그런 배터리로는 주행거리때문에 한계에 오거덩 알고나 말하셔|뭐니..??|답변자는 누구인가요?
멀 알고 말하는 것인지? 주식하는 사람이면 당신보다 더 잘 알듯하네요.
대체 어디서 정보를 배우고 설명하나?
공매도 세력과 짜고 허위정보 언론에 유출하는 것과 무엇이 다른가?
진짜 설명을 개떡같이 하네요.
폄하식 발언이지.. 정보를 알려주려면 제대로 알려주시길..
더 배우고 가르치세요.."
금통위 금리 동결 델타변이 기승으로 연내 금리 인상 늦춰질까(안영진)/ 주식경제 이슈분석 / 한국경제TV,금통위 금리 동결 델타변이 기승으로 연내 금리 인상 늦춰질까(안영진)/ 주식경제 이슈분석 / 한국경제TV,2021. 7. 15.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 1,672회",좋아요 27개,싫어요 없음,금리야 올라라
글로벌 치과산업의 미래 ‘디지털 덴티스트리’ 선도기업 덴티스 / 증시라인 / 한국경제TV,글로벌 치과산업의 미래 ‘디지털 덴티스트리’ 선도기업 덴티스 / 증시라인 / 한국경제TV,2021. 7. 15.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 1,282회",좋아요 17개,싫어요 1개,
"'반도체·우주항공' 한양디지텍, 최대주주가 120만주 증여  / 공진단 / 한국경제TV","'반도체·우주항공' 한양디지텍, 최대주주가 120만주 증여  / 공진단 / 한국경제TV",2021. 7. 15.,http://www.youtube.com/watch?v=RUhpM39BS54,조회수 828회,좋아요 11개,싫어요 없음,
파월의 인플레 지우기강세장 지속되나?/ 이진우의 진짜전략 / 한국경제TV,파월의 인플레 지우기강세장 지속되나?/ 이진우의 진짜전략 / 한국경제TV,2021. 7. 15.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 11,843회",좋아요 319개,싫어요 7개,"제가 주식유튜브 안보는 채널이 없는데 주식 유튜버중 실시간 실전매매 원탑이네요
주식으로 10만원에서 30억으로 만들고 종목에 대한 매매 날짜랑 가격대 계좌까지 전부 다 까 놓고 매매하는데 승률이 계산해보니 98.7%더군요
[주식의정석]이란 채널인데 아마 은둔고수로 추정이되는데요 입으로 주식하는 사람들하고는 차원이 다르네요
광고 아니니 오해없으시길..|나름 객관적이며 실력있는 이코노미스트|이진우소장님 늘
좋은자료.좋은소식 감사합니다 ^^|미국 또 큰사고 한번 치는건 아닌지 좀 걱정되는....|파월의 발언 솔직하지 못한 느낌은 나만의 생각인지….|결국 파월이 세상을 망쳐 놓을 것이다"
"실적시즌, 기대되는 S&P500 섹터 TOP 3 / THE PULSE  / 한국경제TV","실적시즌, 기대되는 S&P500 섹터 TOP 3 / THE PULSE  / 한국경제TV",2021. 7. 15.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 1,738회",좋아요 65개,싫어요 1개,"진행자 님께서 서 계시는 모습, 의상, 고개를 살짝살짝 찍는 모습이 유명한 패션모델 같으시네요. 요즘 스포츠 채널이나 홈쇼핑 채널 처럼 아주 시원하고 비주얼 위주라는 장점이 있네요.|와~  다시 만나서 반가워요^^
앞으로도 좋은 소식 많이 전해주세요^^|심쿵 심쿵|심쿵!|안녕하세요! 반가 반가!|오늘도 심쿵합니다~|이쁨!|내꺼합시다|감사합니다"
"[한상춘의 지금세계는] / 파월 “디지털 통화 도입시, 가상화폐 불필요”… 코인개미, 지금이라도 투자 포기? / 한국경제TV","[한상춘의 지금세계는] / 파월 “디지털 통화 도입시, 가상화폐 불필요”… 코인개미, 지금이라도 투자 포기? / 한국경제TV",2021. 7. 15.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 8,497회",좋아요 208개,싫어요 22개,
오늘장 놓쳐선 안 될 당신이 잠든사이 일어난 해외 이슈 7 / 출근전 꼭 봐야하는 글로벌 이슈 / 한국경제TV,오늘장 놓쳐선 안 될 당신이 잠든사이 일어난 해외 이슈 7 / 출근전 꼭 봐야하는 글로벌 이슈 / 한국경제TV,2021. 7. 15.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 58,070회","좋아요 1,739개",싫어요 28개,"5:44 오늘따라 강력한 꺄끄|아침에   일어나서  제일 먼저  
~~~|5:44 까끄 😉|빠른 업데이트 넘 좋아요~
출근전 보고 가요~♡♡|하 빨라서 좋다|안정적인 업로드 부탁드립니다!|뫄이크로써프트는~ 꺄끄~~~|좋은 뉴스 감사합니다.|파월 협박 당했네 ㅋㅋ|우리나라는 부동산은 무리한 자금조달이 주도 하는건데  ㄷ ㄷ ㄷ ... 우리 망함? ㄷ ㄷ ㄷ|매일 챙겨 보고 있어요. 감사합니다.|꺅 흐~~|감사합니다 🙏 💕 오늘도 굿데이요🏖🌊🌠|마이크로쏴프트.|꺅끄~~~ 깍끄~~~|깔끔한 정리 너무 좋네요!|Amc 게임스탑 주주님들 계시나요?추매갑시다|말 그대로 출근 전에 봐야할 영상. 일단 기조가 양적완화구만...가상화폐는 어쩌나...ㅡ_-;;|목욜 꺄끙^^|5:44.2|꺆흐♡|오늘도 감사합니당|꺅꾸🥰🥰🥰🥰|오늘 까꾸 컨디션 긋|빠른 업뎃 너무 좋아요!|쵝오! 쵝오! 최애 프로그램^^ 
항상 고맙습니다.|감사합니다~~~|잘듣고갑니다
감사|감사합니다|꺄아끄  전해 두렸습니다?~~~~|좋아요|좋은아침입니당|우리 고운이 수고했어~~~|전해드렸습니다앙~🤗|감사합니다
내용이 알차고  좋습니다|어제 애플 상승하는거보고 잠을 이룰수가 없었네요
투자에 있어 가장 도움되는 방송
전세원 박고운 강다은 비롯 모든 분들 감사합니다|30초전|애플페이????|꺄끄|이거 하나보면 됨|빨강 옷이 좋아요^^ 
오늘장도 빨강♡|감사드립니다|끼아꾸|꺅끄보단 강단|5:44  오늘의 꺅끄ㅡ♡|프랑스 꺅끄~ 마이크로 샤프트~|꺅그 이게머라고 ㅋㅋ|꺅ㄲㄱㄱㄱ그|꺗끄지수 하락 😭
오늘 장 마감시황 전해드렸니다아 😀|고운 누나의 꺄끄 아침마다 기 받고 가욤|출근 전 꺄끄~~~|박고운 캐스터 감기걸리셨나보네요. 건강 챙기세요~~ 그래야 오랫동안 꺅끄 듣습니다|까끄 힘드시면
굳이..유럽증시에서 프랑스빼세요..
한국사람중에 프랑스주식 하는사람 많이없을듯...
영국.독일.이탈리아로 하시죠|◆ 삼성전자(우): 강력 매수 신호 발생 -->매수 적기
6개월간 기간조정+가격조정 마무리: 이젠 급등 시점!

● 보통주와 갭 줄이려, 우선주 급등 시점: 우선주 매수 유리!
삼전(우): 공매도 제외: 우선주 공매도 염려 없어 상승 유리!

1. D램 슈퍼 사이클 도래
: 향후 3년간 반도체 실적 호황기
최근 D램값 70% 급등으로, 
실적 급증+주가 상승 당연지사!

2. 파운드리(위탁생산): 역대 최고 실적 전망!
올해 20조 이상: 3년전 11조 대비, 100% 성장 전망
특히, 인텔 물량수주로 대박
: 실적과 주가 급등 요인!

3. 스마트폰 최고 실적 전망
: 스마트 3억대 판매 목표!
폴더블 스마트폰: 高價로, 실적증가에 큰 보탬 될 것

4. 삼전(우): 배당 증가 4%: 현금 보유액 110조 이상+향후 3년 실적 급증
향후 주가 급등과 배당 증가 전망
: 매수 이유 충분!

◆ 삼성전자(우): 보통주 보다 주가 저렴, 우선주가 배당 15% 더 많아 유리
시스템반도체 성장성 매우 커, 2년내 20만원 전망
-->지금은 저가 매수 기회 임!"
유가 상승에 실적 터지고 그린 뉴딜에 수혜 터진 종목 / 최성민의 빅샷+ / 이상로 와우넷 파트너 / 한국경제TV,유가 상승에 실적 터지고 그린 뉴딜에 수혜 터진 종목 / 최성민의 빅샷+ / 이상로 와우넷 파트너 / 한국경제TV,2021. 7. 14.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 4,943회",좋아요 79개,싫어요 2개,"❤️ 티피씨글로벌 * 열배간다= 대선정책 &이재명 인맥.지역주 ♥ 대표..동갑,안동생,안동기업
   ♥ 시총 500억..매출 800억  이익 30억  순자산 1,200억 초우량주-해성티피씨 지분만 500억
   ♥ 대선 정책주-전기차.스마트팩토리.풍력.건축배관 부동산♥ 티피씨글로벌 * 시총 1조간다
      # 안동기업 - 동신건설...매출 300억 적자가 20배 상승하여...현재 시총 5,000억|전업투자자 입니다.
주식과 경제에 대한 정보가 필요합니다.
경제는 삼프로TV와 한국경제TV에서 경제에 대한 많은 정보 보며 공부하고 있습니다.
주식은 BJ단테님 채널에서 주식 강의를 보며 배우고 있습니다.
확실히 주식과 경제는 맞물리는듯, 안맞물리는듯 하지만 두 분야 모두 공부해야 되는 거 같습니다.
한국경제TV 앞으로도 좋은 정보 부탁드립니다!
감사합니다~~~~|◆ 삼성전자(우): 강력 매수 신호 발생 -->매수 적기
6개월간 기간조정+가격조정 마무리: 이젠 급등 시점!

● 보통주와 갭 줄이려, 우선주 급등 시점: 우선주 매수 유리!
삼전(우): 공매도 제외: 우선주 공매도 염려 없어 상승 유리!

1. D램 슈퍼 사이클 도래
: 향후 3년간 반도체 실적 호황기
최근 D램값 70% 급등으로, 
실적 급증+주가 상승 당연지사!

2. 파운드리(위탁생산): 역대 최고 실적 전망!
올해 20조 이상: 3년전 11조 대비, 100% 성장 전망
특히, 인텔 물량수주로 대박
: 실적과 주가 급등 요인!

3. 스마트폰 최고 실적 전망
: 스마트 3억대 판매 목표!
폴더블 스마트폰: 高價로, 실적증가에 큰 보탬 될 것

4. 삼전(우): 배당 증가 4%: 현금 보유액 110조 이상+향후 3년 실적 급증
향후 주가 급등과 배당 증가 전망
: 매수 이유 충분!

◆ 삼성전자(우): 보통주 보다 주가 저렴, 우선주가 배당 15% 더 많아 유리
시스템반도체 성장성 매우 커, 2년내 20만원 전망
-->저가 매수 기회"
삼성 폴더블폰 가격 내린다? 강한 실적반등 예상주 / 최성민의 빅샷+ / 최성민 앵커 글로벌 투자 전략가 / 한국경제TV,삼성 폴더블폰 가격 내린다? 강한 실적반등 예상주 / 최성민의 빅샷+ / 최성민 앵커 글로벌 투자 전략가 / 한국경제TV,2021. 7. 14.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 2,968회",좋아요 73개,싫어요 없음,"KH바텍 인터플렉스 파인테크닉스|감사합니다|최앵커님 말씀 참 잘하셔요.|멋짐  최성민앵커님|◆ 삼성전자(우): 강력 매수 신호 발생 -->매수 적기
6개월간 기간조정+가격조정 마무리: 이젠 급등 시점!

● 보통주와 갭 줄이려, 우선주 급등 시점: 우선주 매수 유리!
삼전(우): 공매도 제외: 우선주 공매도 염려 없어 상승 유리!

1. D램 슈퍼 사이클 도래
: 향후 3년간 반도체 실적 호황기
최근 D램값 70% 급등으로, 
실적 급증+주가 상승 당연지사!

2. 파운드리(위탁생산): 역대 최고 실적 전망!
올해 20조 이상: 3년전 11조 대비, 100% 성장 전망
특히, 인텔 물량수주로 대박
: 실적과 주가 급등 요인!

3. 스마트폰 최고 실적 전망
: 스마트 3억대 판매 목표!
폴더블 스마트폰: 高價로, 실적증가에 큰 보탬 될 것

4. 삼전(우): 배당 증가 4%: 현금 보유액 110조 이상+향후 3년 실적 급증
향후 주가 급등과 배당 증가 전망
: 매수 이유 충분!

◆ 삼성전자(우): 보통주 보다 주가 저렴, 우선주가 배당 15% 더 많아 유리
시스템반도체 성장성 매우 커, 2년내 20만원 전망
-->매수 기회|무게좀줄여"
"美 6월 소비자물가 급등 금리불안, 이렇게 투자하세요 / 최성민의 빅샷+ / 오건영 신한은행 IPS본부 부부장 / 한국경제TV","美 6월 소비자물가 급등 금리불안, 이렇게 투자하세요 / 최성민의 빅샷+ / 오건영 신한은행 IPS본부 부부장 / 한국경제TV",2021. 7. 14.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 5,744회",좋아요 151개,싫어요 4개,"● ㆍ  ■



서울 구축아파트 핵폭발 상승률은 

♡♡전농sk아파트 30평대♡♡ 

gtx +면목선
지하철역이 정문 

청량리개발 직접호재|부부장님 여기서도 뵙네요
반갑습니다|갓건영님 요즘 여기저기 자주나오시네|◆ 삼성전자(우): 강력 매수 신호 발생 -->매수 적기
6개월간 기간조정+가격조정 마무리: 이젠 급등 시점!

● 보통주와 갭 줄이려, 우선주 급등 시점: 우선주 매수 유리!
삼전(우): 공매도 제외: 우선주 공매도 염려 없어 상승 유리!

1. D램 슈퍼 사이클 도래
: 향후 3년간 반도체 실적 호황기
최근 D램값 70% 급등으로, 
실적 급증+주가 상승 당연지사!

2. 파운드리(위탁생산): 역대 최고 실적 전망!
올해 20조 이상: 3년전 11조 대비, 100% 성장 전망
특히, 인텔 물량수주로 대박
: 실적과 주가 급등 요인!

3. 스마트폰 최고 실적 전망
: 스마트 3억대 판매 목표!
폴더블 스마트폰: 高價로, 실적증가에 큰 보탬 될 것

4. 삼전(우): 배당 증가 4%: 현금 보유액 110조 이상+향후 3년 실적 급증
향후 주가 급등과 배당 증가 전망
: 매수 이유 충분!

◆ 삼성전자(우): 보통주 보다 주가 저렴, 우선주가 배당 15% 더 많아 유리
시스템반도체 성장성 매우 커, 2년내 20만원 전망
-->매수 기회"
물 들어오는 K-배터리 어디에서 노 저을까? / 최성민의 빅샷+ / 윤여민 하나금융 삼성동금융센터 FA팀장 / 한국경제TV,물 들어오는 K-배터리 어디에서 노 저을까? / 최성민의 빅샷+ / 윤여민 하나금융 삼성동금융센터 FA팀장 / 한국경제TV,2021. 7. 14.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 6,689회",좋아요 127개,싫어요 5개,진행하시는분 LG화학 주식 보유중인가? 무한반복이네
나스미디어 어드레서블 광고 수혜 / 나의 투자 / 도현정 메리츠증권 광화문 부장 / 앞으로 종목 / 한국경제TV,나스미디어 어드레서블 광고 수혜 / 나의 투자 / 도현정 메리츠증권 광화문 부장 / 앞으로 종목 / 한국경제TV,2021. 7. 14.,http://www.youtube.com/watch?v=RUhpM39BS54,조회수 787회,좋아요 19개,싫어요 1개,
씨에스윈드 '정책수혜' 엘앤씨바이오 '신사업 주목' / 나의 투자 / 오승주 한국투자증권 차장 / 앞으로 종목 / 한국경제TV,씨에스윈드 '정책수혜' 엘앤씨바이오 '신사업 주목' / 나의 투자 / 오승주 한국투자증권 차장 / 앞으로 종목 / 한국경제TV,2021. 7. 14.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 2,021회",좋아요 44개,싫어요 없음,엘앤씨를 소개하네 ㅋㅋ이 귀한 종목을 ㅋㅋ
이슈 Pick 한샘 경영권 매각 / 나의 투자 / 신서정 SK증권 연구위원 / 이슈 Pick / 한국경제TV,이슈 Pick 한샘 경영권 매각 / 나의 투자 / 신서정 SK증권 연구위원 / 이슈 Pick / 한국경제TV,2021. 7. 14.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 1,473회",좋아요 30개,싫어요 없음,
손현정의 오늘장 뽀개기 (7/14) / 나의 투자 / 오전장 복기 / 한국경제TV,손현정의 오늘장 뽀개기 (7/14) / 나의 투자 / 오전장 복기 / 한국경제TV,2021. 7. 14.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 1,530회",좋아요 39개,싫어요 없음,
